Page,Step/Section,Button Label,data-testid,Notes
HomePage,N/A,N/A,N/A,Page shows only smiley face - no buttons

SeniorsLanding,Step 1,Continue (ZIP Code),button-submit-zip-code,Submit ZIP code form
SeniorsLanding,Step 2,Male,button-gender-male,Gender selection
SeniorsLanding,Step 2,Female,button-gender-female,Gender selection
SeniorsLanding,Step 3,Yes (Life Insurance),button-life-insurance-yes,Has life insurance
SeniorsLanding,Step 3,No (Life Insurance),button-life-insurance-no,Does not have life insurance
SeniorsLanding,Step 4,$0-$5000,button-cash--0--5-000,Cash amount option
SeniorsLanding,Step 4,$5000-$10000,button-cash--5-000--10-000,Cash amount option
SeniorsLanding,Step 4,$10000-$15000,button-cash--10-000--15-000,Cash amount option
SeniorsLanding,Step 4,$15000-$20000,button-cash--15-000--20-000,Cash amount option
SeniorsLanding,Step 4,$20000+,button-cash--20-000-,Cash amount option
SeniorsLanding,Step 5,Spouse,button-beneficiary-spouse,Beneficiary selection
SeniorsLanding,Step 5,Children,button-beneficiary-children,Beneficiary selection
SeniorsLanding,Step 5,Grandchildren,button-beneficiary-grandchildren,Beneficiary selection
SeniorsLanding,Step 5,Family Member,button-beneficiary-family-member,Beneficiary selection
SeniorsLanding,Step 6,Under 45,button-age-under-45,Age range selection
SeniorsLanding,Step 6,45-85,button-age-45-85,Age range selection
SeniorsLanding,Step 6,Over 85,button-age-over-85,Age range selection
SeniorsLanding,Step 7,Continue (Beneficiary Name),button-submit-beneficiary-name,Submit beneficiary name
SeniorsLanding,Step 8,Continue (Hobby),button-submit-hobby,Submit hobby
SeniorsLanding,Step 9,Continue (First Name),button-submit-first-name,Submit first name
SeniorsLanding,Step 10,Continue (Last Name),button-submit-last-name,Submit last name
SeniorsLanding,Step 11,Continue (Email),button-submit-email,Submit email
SeniorsLanding,Step 12,Continue (Phone),button-submit-phone,Submit phone number
SeniorsLanding,Step 13,Continue (Street Address),button-submit-street-address,Submit street address
SeniorsLanding,Step 14,Continue (County),button-submit-county,Submit county
SeniorsLanding,Step 15,Under $50,button-budget-under--50,Monthly budget option
SeniorsLanding,Step 15,$50-$100,button-budget--50--100,Monthly budget option
SeniorsLanding,Step 15,$100-$200,button-budget--100--200,Monthly budget option
SeniorsLanding,Step 15,$200-$300,button-budget--200--300,Monthly budget option
SeniorsLanding,Step 15,$300+,button-budget--300-,Monthly budget option
SeniorsLanding,Footer,Privacy Policy,link-privacy-policy,Opens privacy modal
SeniorsLanding,Footer,Terms of Use,link-terms-of-use,Opens terms modal
SeniorsLanding,Step 1 (Alt),Privacy Policy,link-privacy-policy,Opens privacy modal (on first page)
SeniorsLanding,Step 1 (Alt),Terms of Use,link-terms-of-use,Opens terms modal (on first page)

VeteransLanding,Step 1,Army,button-military-branch-army,Military branch selection
VeteransLanding,Step 1,Marine Corps,button-military-branch-marine-corps,Military branch selection
VeteransLanding,Step 1,Navy,button-military-branch-navy,Military branch selection
VeteransLanding,Step 1,Air Force,button-military-branch-air-force,Military branch selection
VeteransLanding,Step 1,Coast Guard,button-military-branch-coast-guard,Military branch selection
VeteransLanding,Step 1,Space Force,button-military-branch-space-force,Military branch selection
VeteransLanding,Step 2,Continue (ZIP Code),button-submit-zip-code,Submit ZIP code form
VeteransLanding,Step 3,Male,button-gender-male,Gender selection
VeteransLanding,Step 3,Female,button-gender-female,Gender selection
VeteransLanding,Step 4,Yes (Life Insurance),button-life-insurance-yes,Has life insurance
VeteransLanding,Step 4,No (Life Insurance),button-life-insurance-no,Does not have life insurance
VeteransLanding,Step 5,$0-$5000,button-cash--0--5-000,Cash amount option
VeteransLanding,Step 5,$5000-$10000,button-cash--5-000--10-000,Cash amount option
VeteransLanding,Step 5,$10000-$15000,button-cash--10-000--15-000,Cash amount option
VeteransLanding,Step 5,$15000-$20000,button-cash--15-000--20-000,Cash amount option
VeteransLanding,Step 5,$20000+,button-cash--20-000-,Cash amount option
VeteransLanding,Step 6,Spouse,button-beneficiary-spouse,Beneficiary selection
VeteransLanding,Step 6,Children,button-beneficiary-children,Beneficiary selection
VeteransLanding,Step 6,Grandchildren,button-beneficiary-grandchildren,Beneficiary selection
VeteransLanding,Step 6,Family Member,button-beneficiary-family-member,Beneficiary selection
